Profundidade [m]	Densidade Aparente Seca [g/cm³]
5083.8836	2.315778
5084.036	2.2847389999999996
5084.1884	2.2476599999999998
5084.3408	2.24453
5084.4932	2.267291
5084.6456	2.298927
5084.798	2.309449
5084.9504	2.266793
5085.1028	2.221913
5085.2552	2.223541
5085.4076	2.284424
5085.56	2.344441
5085.7124	2.4418130000000002
5085.8648	2.439419
5086.0172	2.360022
5086.1696	2.335387
5086.322	2.3221160000000003
5086.4744	2.324608
5086.6268	2.31847
5086.7792	2.3224400000000003
5086.9316	2.328498
5087.084	2.3275620000000004
5087.2364	2.333686
5087.3888	2.3440290000000004
5087.5412	2.373907
5087.6936	2.432464
5087.846	2.487592
5087.9984	2.495711
5088.1508	2.454081
5088.3032	2.411826
5088.4556	2.382866
5088.608	2.377139
5088.7604	2.3823339999999997
5088.9128	2.389932
5089.0652	2.37394
5089.2176	2.355112
5089.37	2.3506419999999997
5089.5224	2.359104
5089.6748	2.375429
5089.8272	2.411147
5089.9796	2.441865
5090.132	2.44827
5090.2844	2.449142
5090.4368	2.417379
5090.5892	2.394898
5090.7416	2.413284
5090.894	2.427794
5091.0464	2.429514
5091.1988	2.408506
5091.3512	2.3799680000000003
5091.5036	2.352836
5091.656	2.3513159999999997
5091.8084	2.352881
5091.9608	2.338225
5092.1132	2.312652
5092.2656	2.287691
5092.418	2.279121
5092.5704	2.2770889999999997
5092.7228	2.2775600000000003
5092.8752	2.2738240000000003
5093.0276	2.248125
5093.18	2.21501
5093.3324	2.179525
5093.4848	2.1558219999999997
5093.6372	2.140337
5093.7896	2.1485090000000002
5093.942	2.159485
5094.0944	2.152431
5094.2468	2.130547
5094.3992	2.138042
5094.5516	2.186063
5094.704	2.211309
5094.8564	2.214153
5095.0088	2.196924
5095.1612	2.203614
5095.3136	2.231522
5095.466	2.256904
5095.6184	2.266177
5095.7708	2.221469
5095.9232	2.17282
5096.0756	2.128587
5096.228	2.1363309999999998
5096.3804	2.1870649999999996
5096.5328	2.22009
5096.6852	2.238402
5096.8376	2.244407
5096.99	2.238905
5097.1424	2.193174
5097.2948	2.161151
5097.4472	2.119351
5097.5996	2.142579
5097.752	2.201612
5097.9044	2.209629
5098.0568	2.197485
5098.2092	2.216768
5098.3616	2.271879
5098.514	2.283637
5098.6664	2.253968
5098.8188	2.22898
5098.9712	2.231191
5099.1236	2.2435690000000004
5099.276	2.2698270000000003
5099.4284	2.29239
5099.5808	2.325796
5099.7332	2.351765
5099.8856	2.389224
5100.038	2.411215
5100.1904	2.4440180000000002
5100.3428	2.445711
5100.4952	2.417751
5100.6476	2.3413150000000003
5100.8	2.320742
5100.9524	2.358738
5101.1048	2.3834310000000003
5101.2572	2.386071
5101.4096	2.3750370000000003
5101.562	2.356008
5101.7144	2.35979
5101.8668	2.410907
5102.0192	2.46001
5102.1716	2.5120639999999996
5102.324	2.505754
5102.4764	2.4552519999999998
5102.6288	2.402478
5102.7812	2.362467
5102.9336	2.358753
5103.086	2.35069
5103.2384	2.3495530000000002
5103.3908	2.344687
5103.5432	2.347918
5103.6956	2.373421
5103.848	2.381255
5104.0004	2.379841
5104.1528	2.378918
5104.3052	2.369773
5104.4576	2.349443
5104.61	2.3603870000000002
5104.7624	2.377632
5104.9148	2.376074
5105.0672	2.388411
5105.2196	2.398068
5105.372	2.405658
5105.5244	2.4056740000000003
5105.6768	2.4020759999999997
5105.8292	2.388288
5105.9816	2.389433
5106.134	2.3918779999999997
5106.2864	2.4159930000000003
5106.4388	2.4171039999999997
5106.5912	2.399749
5106.7436	2.3916630000000003
5106.896	2.3801469999999996
5107.0484	2.376127
5107.2008	2.3763310000000004
5107.3532	2.371509
5107.5056	2.3794340000000003
5107.658	2.389896
5107.8104	2.38152
5107.9628	2.368303
5108.1152	2.359069
5108.2676	2.360048
5108.42	2.3591550000000003
5108.5724	2.368936
5108.7248	2.396942
5108.8772	2.447505
5109.0296	2.493557
5109.182	2.50332
5109.3344	2.452429
5109.4868	2.385773
5109.6392	2.365122
5109.7916	2.3578259999999998
5109.944	2.350266
5110.0964	2.3432429999999997
5110.2488	2.331775
5110.4012	2.3554199999999996
5110.5536	2.3593990000000002
5110.706	2.375832
5110.8584	2.391384
5111.0108	2.442004
5111.1632	2.4544409999999997
5111.3156	2.430827
5111.468	2.408844
5111.6204	2.402365
5111.7728	2.4034969999999998
5111.9252	2.389513
5112.0776	2.378311
5112.23	2.379138
5112.3824	2.398314
5112.5348	2.39798
5112.6872	2.387127
5112.8396	2.381208
5112.992	2.39067
5113.1444	2.392459
5113.2968	2.394284
5113.4492	2.3992459999999998
5113.6016	2.410001
5113.754	2.404996
5113.9064	2.394285
5114.0588	2.390949
5114.2112	2.392723
5114.3636	2.390438
5114.516	2.3832180000000003
5114.6684	2.373849
5114.8208	2.365145
5114.9732	2.3677330000000003
5115.1256	2.354635
5115.278	2.3532409999999997
5115.4304	2.354368
5115.5828	2.363193
5115.7352	2.370994
5115.8876	2.405325
5116.04	2.449552
5116.1924	2.4586550000000003
5116.3448	2.398056
5116.4972	2.3292089999999996
5116.6496	2.332441
5116.802	2.331366
5116.9544	2.3265249999999997
5117.1068	2.323143
5117.2592	2.337053
5117.4116	2.3620449999999997
5117.564	2.359096
5117.7164	2.364212
5117.8688	2.3686809999999996
5118.0212	2.3503860000000003
5118.1736	2.339022
5118.326	2.340086
5118.4784	2.354041
5118.6308	2.380458
5118.7832	2.395963
5118.9356	2.401787
5119.088	2.388163
5119.2404	2.367747
5119.3928	2.354168
5119.5452	2.377227
5119.6976	2.396818
5119.85	2.403463
5120.0024	2.383053
5120.1548	2.375818
5120.3072	2.388798
5120.4596	2.4141369999999998
5120.612	2.4353499999999997
5120.7644	2.4002649999999996
5120.9168	2.3597420000000002
5121.0692	2.3582170000000002
5121.2216	2.366613
5121.374	2.374226
5121.5264	2.4185359999999996
5121.6788	2.434501
5121.8312	2.389896
5121.9836	2.380889
5122.136	2.36876
5122.2884	2.3550929999999997
5122.4408	2.3644640000000003
5122.5932	2.379534
5122.7456	2.3912660000000003
5122.898	2.4164920000000003
5123.0504	2.419951
5123.2028	2.4037260000000003
5123.3552	2.365136
5123.5076	2.3526510000000003
5123.66	2.36076
5123.8124	2.3709930000000004
5123.9648	2.370778
5124.1172	2.353386
5124.2696	2.313212
5124.422	2.2885720000000003
5124.5744	2.29313
5124.7268	2.295906
5124.8792	2.280189
5125.0316	2.269664
5125.184	2.255728
5125.3364	2.256537
5125.4888	2.263663
5125.6412	2.265506
5125.7936	2.253857
5125.946	2.219979
5126.0984	2.2281359999999997
5126.2508	2.288745
5126.4032	2.3401520000000002
5126.5556	2.3404920000000002
5126.708	2.289595
5126.8604	2.267136
5127.0128	2.247664
5127.1652	2.260211
5127.3176	2.272675
5127.47	2.279474
5127.6224	2.274142
5127.7748	2.264156
5127.9272	2.2674220000000003
5128.0796	2.257898
5128.232	2.2487310000000003
5128.3844	2.2143960000000003
5128.5368	2.21041
5128.6892	2.2136810000000002
5128.8416	2.2408479999999997
5128.994	2.231329
5129.1464	2.219912
5129.2988	2.230742
5129.4512	2.226295
5129.6036	2.217882
5129.756	2.233637
