Profundidade COT IH IO OF_class
5365.4816 3.75649 408.739809 77.181784 2
5365.9816 3.712932 416.384897 73.7463 2
5366.4816 3.658375 423.201784 71.004226 2
5366.9816 3.952396 410.342718 76.233834 2
5367.4816 2.989364 480.499739 47.956285 2
5367.9816 2.65584 519.862386 32.122771 2
5368.4816 3.965714 420.17022 72.223664 4
5368.9816 3.948176 424.546805 70.463195 4
5369.4816 3.548927 452.761502 59.113913 2
5369.9816 3.068922 495.508637 41.918998 2
5370.4816 3.151304 492.285276 43.215585 2
5370.9816 2.732965 540.807459 23.697674 4
5371.4816 4.308048 421.916247 71.576032 4
5371.9816 4.218859 429.908327 68.306538 4
5372.4816 3.347412 491.807621 43.407721 2
5372.9816 3.80446 461.237894 55.704308 4
5373.4816 3.066694 526.653691 29.390987 4
5373.9816 4.216943 442.865049 63.094733 2
5374.4816 4.066603 454.892046 58.256907 2
5374.9816 3.639535 487.622613 45.091129 2
5375.4816 3.32484 518.194194 32.793796 2
5375.9816 3.724836 488.489198 44.742547 2
5376.4816 3.844056 483.306245 46.827375 2
5376.9816 4.466928 443.60638 63.754839 2
5377.4816 3.324007 534.581372 26.2021 4
5377.9816 4.189388 470.292555 52.062096 2
5378.4816 4.255866 469.375264 52.431074 2
5378.9816 3.511425 528.713104 28.562594 4
5379.4816 3.801586 507.775879 36.984534 2
5379.9816 3.960722 499.140861 40.457946 4
5380.4816 4.555994 464.035837 54.578843 2
5380.9816 4.461616 472.496089 51.17573 2
5381.4816 4.63713 465.396048 54.031702 2
5381.9816 3.87679 519.43443 32.294915 2
5382.4816 3.690572 538.836559 24.490463 4
5382.9816 4.217025 500.710427 39.826592 4
5383.4816 4.240994 502.250092 39.207266 2
5383.9816 4.104078 515.379149 33.92614 2
5384.4816 4.711277 478.600578 48.720217 2
5384.9816 5.208166 455.356651 58.070021 4
5385.4816 4.942204 471.426859 51.605825 2
5385.9816 4.811933 481.383378 47.600844 2
5386.4816 5.309931 455.76987 58.460122 4
5386.9816 5.34492 456.625033 58.125087 2
5387.4816 5.449444 456.826403 57.478817 4
5387.9816 4.162391 537.117183 25.182077 4
5388.4816 4.600255 508.707879 36.60964 2
5388.9816 4.307238 532.332229 27.106811 4
5389.4816 4.879837 497.01641 41.3125 2
5389.9816 4.479779 525.87927 29.702496 4
5390.4816 4.678838 515.238841 33.982578 4
5390.9816 5.119415 491.418737 43.564149 2
5391.4816 5.134896 493.202787 42.846519 2
5391.9816 5.406931 481.344705 47.616399 2
5392.4816 5.460225 481.15589 47.69235 2
5392.9816 4.541664 539.448613 24.244266 4
5393.4816 5.55515 481.362433 47.609268 2
5393.9816 5.037804 512.156686 35.222367 2
5394.4816 5.214714 504.426651 38.331752 4
5394.9816 5.397316 496.898596 41.359891 4
5395.4816 5.207863 510.021823 36.081109 2
5395.9816 5.411933 501.126051 39.659409 2
5396.4816 5.48624 499.62211 40.264365 4
5396.9816 6.075617 473.533633 50.758381 4
5397.4816 5.094996 527.359475 29.107088 4
5397.9816 5.737668 493.915912 42.559667 4
5398.4816 5.426807 512.808923 34.960006 2
5398.9816 5.335395 520.576767 31.835413 2
5399.4816 5.424662 517.926398 32.901516 4
5399.9816 5.58324 511.542422 35.469453 2
5400.4816 5.304088 530.089176 28.009073 4
5400.9816 6.299251 477.547218 49.981666 4
5401.4816 5.950294 499.632064 40.260361 2
5401.9816 6.26543 487.111317 45.296796 2
5402.4816 5.289496 541.227583 23.52868 4
5402.9816 5.296217 543.363318 22.669587 4
5403.4816 5.502173 533.261791 26.732898 4
5403.9816 5.601467 529.910105 28.081104 4
5404.4816 6.371323 493.103293 42.88654 2
5404.9816 6.4289 492.655282 43.066752 2
5405.4816 5.634935 535.211875 25.948482 4
5405.9816 6.668703 486.472869 45.55361 2
5406.4816 5.707835 535.777759 25.720857 4
