Profundidade [m]	Densidade Aparente Seca [g/cm³]
5429.3744	2.085461
5429.5268	2.055216
5429.6792	2.029598
5429.8316	1.997347
5429.984	1.9944190000000002
5430.1364	1.9907839999999999
5430.2888	1.9343179999999998
5430.4412	1.9371489999999998
5430.5936	1.953794
5430.746	2.02681
5430.8984	2.064379
5431.0508	2.084737
5431.2032	2.096794
5431.3556	2.084101
5431.508	2.071633
5431.6604	2.052781
5431.8128	2.045027
5431.9652	2.042892
5432.1176	2.0535259999999997
5432.27	2.080246
5432.4224	2.045468
5432.5748	1.9887199999999998
5432.7272	2.00255
5432.8796	2.084301
5433.032	2.128363
5433.1844	2.047038
5433.3368	1.9868709999999998
5433.4892	2.105963
5433.6416	2.229836
5433.794	2.271313
5433.9464	2.2165649999999997
5434.0988	2.179033
5434.2512	2.1341539999999997
5434.4036	2.085818
5434.556	2.046435
5434.7084	2.060009
5434.8608	2.12725
5435.0132	2.133232
5435.1656	2.113334
5435.318	2.114572
5435.4704	2.128062
5435.6228	2.143896
5435.7752	2.14857
5435.9276	2.152337
5436.08	2.1362949999999996
5436.2324	2.127344
5436.3848	2.113207
5436.5372	2.0984599999999998
5436.6896	2.080021
5436.842	2.071361
5436.9944	2.076676
5437.1468	2.100052
5437.2992	2.1160710000000003
5437.4516	2.1953549999999997
5437.604	2.239478
5437.7564	2.2868229999999996
5437.9088	2.312137
5438.0612	2.273917
5438.2136	2.231215
5438.366	2.221313
5438.5184	2.236959
5438.6708	2.286363
5438.8232	2.3080819999999997
5438.9756	2.308028
5439.128	2.301964
5439.2804	2.2856039999999997
5439.4328	2.257765
5439.5852	2.2432570000000003
5439.7376	2.21113
5439.89	2.175087
5440.0424	2.197058
5440.1948	2.210701
5440.3472	2.150201
5440.4996	2.106056
5440.652	2.103793
5440.8044	2.1235820000000003
5440.9568	2.088367
5441.1092	2.044825
5441.2616	1.9736479999999998
5441.414	1.9250639999999999
5441.5664	1.969175
5441.7188	2.087794
5441.8712	2.273601
5442.0236	2.337364
5442.176	2.264784
5442.3284	2.212589
5442.4808	2.222596
5442.6332	2.234477
5442.7856	2.2237169999999997
5442.938	2.221497
5443.0904	2.231838
5443.2428	2.209905
5443.3952	2.151814
5443.5476	2.094643
5443.7	2.113575
5443.8524	2.185854
5444.0048	2.238395
5444.1572	2.232706
5444.3096	2.207865
5444.462	2.194688
5444.6144	2.1683820000000003
5444.7668	2.1439310000000003
