Profundidade[m]	Idade[Ma]
5250.914	87.7869261
5251.0664	87.790906
5251.2188	87.7948859
5251.3712	87.7988657
5251.5236	87.8028456
5251.676	87.8068255
5251.8284	87.8108054
5251.9808	87.8147852
5252.1332	87.8187651
5252.2856	87.822745
5252.438	87.8267248
5252.5904	87.8307047
5252.7428	87.8346846
5252.8952	87.8386645
5253.0476	87.8426443
5253.2	87.8466242
5253.3524	87.8506041
5253.5048	87.8545839
5253.6572	87.8585638
5253.8096	87.8625437
5253.962	87.8665236
5254.1144	87.8705034
5254.2668	87.8744833
5254.4192	87.8784632
5254.5716	87.8824431
5254.724	87.8864229
5254.8764	87.8904028
5255.0288	87.8943827
5255.1812	87.8983625
5255.3336	87.9023424
5255.486	87.9063223
5255.6384	87.9103022
5255.7908	87.914282
5255.9432	87.9182619
5256.0956	87.9222418
5256.248	87.9262217
5256.4004	87.9302015
5256.5528	87.9341814
5256.7052	87.9381613
5256.8576	87.9421411
5257.01	87.946121
5257.1624	87.9501009
5257.3148	87.9540808
5257.4672	87.9580606
5257.6196	87.9620405
5257.772	87.9660204
5257.9244	87.9700003
5258.0768	87.9739801
5258.2292	87.97796
5258.3816	87.9819399
5258.534	87.9859197
5258.6864	87.9898996
5258.8388	87.9938795
5258.9912	87.9978594
5259.1436	88.0018392
5259.296	88.0058191
5259.4484	88.009799
5259.6008	88.0137789
5259.7532	88.0177587
5259.9056	88.0217386
5260.058	88.0257185
5260.2104	88.0296983
5260.3628	88.0336782
5260.5152	88.0376581
5260.6676	88.041638
5260.82	88.0456178
5260.9724	88.0495977
5261.1248	88.0535776
5261.2772	88.0575575
5261.4296	88.0615373
5261.582	88.0655172
5261.7344	88.0694971
5261.8868	88.0734769
5262.0392	88.0774568
5262.1916	88.0814367
5262.344	88.0854166
5262.4964	88.0893964
5262.6488	88.0933763
5262.8012	88.0973562
5262.9536	88.1013361
5263.106	88.1053159
5263.2584	88.1092958
5263.4108	88.1132757
5263.5632	88.1172555
5263.7156	88.1212354
5263.868	88.1252153
5264.0204	88.1291952
5264.1728	88.133175
5264.3252	88.1371549
5264.4776	88.1411348
5264.63	88.1451146
5264.7824	88.1490945
5264.9348	88.1530744
5265.0872	88.1570543
5265.2396	88.1610341
5265.392	88.165014
5265.5444	88.1689939
5265.6968	88.1729738
5265.8492	88.1769536
5266.0016	88.1809335
5266.154	88.1849134
5266.3064	88.1888932
5266.4588	88.1928731
5266.6112	88.196853
5266.7636	88.2008329
5266.916	88.2048127
5267.0684	88.2087926
5267.2208	88.2127725
5267.3732	88.2167524
5267.5256	88.2207322
5267.678	88.2247121
5267.8304	88.228692
5267.9828	88.2326718
5268.1352	88.2366517
5268.2876	88.2406316
5268.44	88.2446115
5268.5924	88.2485913
5268.7448	88.2525712
5268.8972	88.2565511
5269.0496	88.260531
5269.202	88.2645108
5269.3544	88.2684907
5269.5068	88.2724706
5269.6592	88.2764504
5269.8116	88.2804303
5269.964	88.2844102
5270.1164	88.2883901
5270.2688	88.2923699
5270.4212	88.2963498
5270.5736	88.3003297
5270.726	88.3043096
5270.8784	88.3082894
5271.0308	88.3122693
5271.1832	88.3162492
5271.3356	88.320229
5271.488	88.3242089
5271.6404	88.3281888
5271.7928	88.3321687
5271.9452	88.3361485
5272.0976	88.3401284
5272.25	88.3441083
5272.4024	88.3480882
5272.5548	88.352068
5272.7072	88.3560479
5272.8596	88.3600278
5273.012	88.3640076
5273.1644	88.3679875
5273.3168	88.3719674
5273.4692	88.3759473
5273.6216	88.3799271
5273.774	88.383907
5273.9264	88.3878869
5274.0788	88.3918668
5274.2312	88.3958466
5274.3836	88.3998265
5274.536	88.4038064
5274.6884	88.4077862
5274.8408	88.4117661
5274.9932	88.415746
5275.1456	88.4197259
5275.298	88.4237057
5275.4504	88.4276856
5275.6028	88.4316655
5275.7552	88.4356454
5275.9076	88.4396252
5276.06	88.4436051
5276.2124	88.447585
5276.3648	88.4515648
5276.5172	88.4555447
5276.6696	88.4595246
5276.822	88.4635045
5276.9744	88.4674843
5277.1268	88.4714642
5277.2792	88.4754441
5277.4316	88.4794239
5277.584	88.4834038
5277.7364	88.4873837
5277.8888	88.4913636
5278.0412	88.4953434
5278.1936	88.4993233
5278.346	88.5033032
5278.4984	88.5072831
5278.6508	88.5112629
5278.8032	88.5152428
5278.9556	88.5192227
5279.108	88.5232025
5279.2604	88.5271824
5279.4128	88.5311623
5279.5652	88.5351422
5279.7176	88.539122
5279.87	88.5431019
5280.0224	88.5470818
5280.1748	88.5510617
5280.3272	88.5550415
5280.4796	88.5590214
5280.632	88.5630013
5280.7844	88.5669811
5280.9368	88.570961
5281.0892	88.5749409
5281.2416	88.5789208
5281.394	88.5829006
5281.5464	88.5868805
5281.6988	88.5908604
5281.8512	88.5948403
5282.0036	88.5988201
5282.156	88.6028
5282.3084	88.6067799
5282.4608	88.6107597
5282.6132	88.6147396
5282.7656	88.6187195
5282.918	88.6226994
5283.0704	88.6266792
5283.2228	88.6306591
5283.3752	88.634639
5283.5276	88.6386189
5283.68	88.6425987
5283.8324	88.6465786
5283.9848	88.6505585
5284.1372	88.6545383
5284.2896	88.6585182
5284.442	88.6624981
5284.5944	88.666478
5284.7468	88.6704578
5284.8992	88.6744377
5285.0516	88.6784176
5285.204	88.6823975
5285.3564	88.6863773
5285.5088	88.6903572
5285.6612	88.6943371
5285.8136	88.6983169
5285.966	88.7022968
5286.1184	88.7062767
5286.2708	88.7102566
5286.4232	88.7142364
5286.5756	88.7182163
5286.728	88.7221962
5286.8804	88.7261761
